ID            CEU     YRI
NWD428381  0.2112  0.7888
NWD174966  0.1494  0.8506
NWD938526  0.0642  0.9358
NWD328083  0.0446  0.9554
NWD318497  0.3282  0.6718
NWD731252  0.0166  0.9834
NWD412116  0.6347  0.3653
NWD640560  0.2558  0.7442
NWD639242  0.4234  0.5766
NWD599371     0.0     1.0
NWD720391  0.1115  0.8885
NWD431959     0.5     0.5
NWD584394     0.0     1.0
NWD344310  0.0204  0.9796
NWD517673  0.2425  0.7575
NWD527323  0.3702  0.6298
NWD418773  0.3307  0.6693
NWD857221  0.0593  0.9407
NWD836765     0.0     1.0
NWD396724     0.0     1.0
NWD125656  0.0191  0.9809
NWD912070  0.4281  0.5719
NWD597815  0.0405  0.9595
NWD512818  0.1382  0.8618

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203     0.0     1.0
NWD838454  0.0425  0.9575
NWD447217  0.0878  0.9122
NWD506902  0.2129  0.7871
NWD516805  0.1097  0.8903
NWD598769     0.0     1.0
NWD276731  0.0645  0.9355
NWD857305  0.0158  0.9842
NWD573145  0.2078  0.7922
NWD378807  0.0208  0.9792
NWD773408  0.2006  0.7994
NWD862131  0.3648  0.6352
NWD696182  0.2912  0.7088
NWD601219  0.1104  0.8896
NWD445484  0.5026  0.4974
NWD245122  0.0978  0.9022
NWD574025  0.2516  0.7484
NWD962792  0.1593  0.8407
NWD140824  0.3961  0.6039
NWD347140   0.527   0.473
NWD388542  0.2254  0.7746
NWD409874  0.2018  0.7982
NWD641240  0.1268  0.8732
NWD620567    0.53    0.47
NWD754070  0.0088  0.9912
NWD338378     0.0     1.0
NWD660071  0.3327  0.6673
NWD452926    0.24    0.76
NWD233967   0.254   0.746
NWD878543  0.2385  0.7615
...           ...     ...
NWD907433  0.0497  0.9503
NWD712032   0.321   0.679
NWD677776  0.3301  0.6699
NWD599306   0.011   0.989
NWD684484     0.0     1.0
NWD826684   0.023   0.977
NWD428381  0.5621  0.4379
NWD174966  0.6667  0.3333
NWD938526  0.1653  0.8347
NWD328083  0.0573  0.9427
NWD318497  0.1933  0.8067
NWD731252  0.0234  0.9766
NWD412116  0.3536  0.6464
NWD640560  0.6291  0.3709
NWD639242  0.1426  0.8574
NWD599371  0.1207  0.8793
NWD720391  0.0044  0.9956
NWD431959  0.5113  0.4887
NWD584394     0.0     1.0
NWD344310  0.0052  0.9948
NWD517673  0.0853  0.9147
NWD527323  0.5096  0.4904
NWD418773  0.4058  0.5942
NWD857221  0.3535  0.6465
NWD836765     0.0     1.0
NWD396724  0.0126  0.9874
NWD125656  0.1149  0.8851
NWD912070  0.1353  0.8647
NWD597815  0.1286  0.8714
NWD512818  0.0876  0.9124

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203     0.0     1.0
NWD838454  0.0135  0.9865
NWD447217  0.1459  0.8541
NWD506902  0.3285  0.6715
NWD516805  0.1848  0.8152
NWD598769  0.1051  0.8949
NWD276731  0.0882  0.9118
NWD857305    0.19    0.81
NWD573145  0.3304  0.6696
NWD378807  0.0939  0.9061
NWD773408  0.1426  0.8574
NWD862131  0.4393  0.5607
NWD696182  0.1098  0.8902
NWD601219  0.2456  0.7544
NWD445484  0.7559  0.2441
NWD245122  0.0295  0.9705
NWD574025     0.0     1.0
NWD962792     0.0     1.0
NWD140824  0.4791  0.5209
NWD347140  0.8048  0.1952
NWD388542  0.5194  0.4806
NWD409874  0.7396  0.2604
NWD641240  0.0864  0.9136
NWD620567  0.4636  0.5364
NWD754070  0.0188  0.9812
NWD338378  0.0839  0.9161
NWD660071  0.3313  0.6687
NWD452926  0.1583  0.8417
NWD233967  0.5733  0.4267
NWD878543  0.1703  0.8297
...           ...     ...
NWD907433  0.0711  0.9289
NWD712032  0.2635  0.7365
NWD677776  0.3909  0.6091
NWD599306     0.0     1.0
NWD684484     0.0     1.0
NWD826684  0.0252  0.9748
NWD428381  0.1095  0.8905
NWD174966  0.5791  0.4209
NWD938526  0.0106  0.9894
NWD328083  0.2289  0.7711
NWD318497  0.4482  0.5518
NWD731252     0.0     1.0
NWD412116  0.5964  0.4036
NWD640560  0.7427  0.2573
NWD639242  0.4055  0.5945
NWD599371     0.0     1.0
NWD720391  0.0415  0.9585
NWD431959  0.5889  0.4111
NWD584394     0.0     1.0
NWD344310  0.0205  0.9795
NWD517673     0.0     1.0
NWD527323  0.2491  0.7509
NWD418773  0.5291  0.4709
NWD857221  0.0012  0.9988
NWD836765     0.0     1.0
NWD396724  0.0269  0.9731
NWD125656  0.0651  0.9349
NWD912070  0.0352  0.9648
NWD597815  0.0073  0.9927
NWD512818     0.0     1.0

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203  0.0106  0.9894
NWD838454  0.2695  0.7305
NWD447217  0.1146  0.8854
NWD506902  0.5548  0.4452
NWD516805  0.0896  0.9104
NWD598769     0.0     1.0
NWD276731  0.0554  0.9446
NWD857305  0.2664  0.7336
NWD573145    0.43    0.57
NWD378807  0.0042  0.9958
NWD773408  0.3462  0.6538
NWD862131  0.1986  0.8014
NWD696182  0.0439  0.9561
NWD601219  0.1922  0.8078
NWD445484   0.081   0.919
NWD245122   0.033   0.967
NWD574025  0.1474  0.8526
NWD962792  0.0507  0.9493
NWD140824  0.0919  0.9081
NWD347140   0.535   0.465
NWD388542  0.4085  0.5915
NWD409874     0.0     1.0
NWD641240  0.0962  0.9038
NWD620567  0.7415  0.2585
NWD754070  0.0016  0.9984
NWD338378     0.0     1.0
NWD660071  0.2417  0.7583
NWD452926   0.272   0.728
NWD233967  0.7369  0.2631
NWD878543  0.4975  0.5025
...           ...     ...
NWD907433  0.2925  0.7075
NWD712032  0.5041  0.4959
NWD677776  0.0726  0.9274
NWD599306  0.0919  0.9081
NWD684484     0.0     1.0
NWD826684  0.0361  0.9639
NWD428381  0.4602  0.5398
NWD174966  0.6026  0.3974
NWD938526  0.1949  0.8051
NWD328083     0.0     1.0
NWD318497  0.2266  0.7734
NWD731252  0.0178  0.9822
NWD412116   0.448   0.552
NWD640560  0.5606  0.4394
NWD639242  0.2774  0.7226
NWD599371  0.0423  0.9577
NWD720391     0.0     1.0
NWD431959  0.5214  0.4786
NWD584394     0.0     1.0
NWD344310  0.0273  0.9727
NWD517673  0.2111  0.7889
NWD527323  0.6796  0.3204
NWD418773  0.1061  0.8939
NWD857221  0.1023  0.8977
NWD836765     0.0     1.0
NWD396724     0.0     1.0
NWD125656  0.0052  0.9948
NWD912070  0.1747  0.8253
NWD597815  0.2032  0.7968
NWD512818  0.2092  0.7908

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203     0.0     1.0
NWD838454  0.0205  0.9795
NWD447217  0.1468  0.8532
NWD506902  0.5714  0.4286
NWD516805     0.0     1.0
NWD598769  0.1113  0.8887
NWD276731   0.072   0.928
NWD857305   0.337   0.663
NWD573145  0.4653  0.5347
NWD378807  0.2034  0.7966
NWD773408  0.2372  0.7628
NWD862131  0.3794  0.6206
NWD696182  0.1425  0.8575
NWD601219  0.2818  0.7182
NWD445484  0.2293  0.7707
NWD245122     0.0     1.0
NWD574025  0.4141  0.5859
NWD962792  0.1902  0.8098
NWD140824  0.3616  0.6384
NWD347140  0.7801  0.2199
NWD388542  0.5928  0.4072
NWD409874  0.0881  0.9119
